,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
3954,DeleteEvent,2015-01-07 15:12:43+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,classical-tests,user
3961,DeleteEvent,2018-01-30 15:44:07+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,minimum_distance,user
3963,DeleteEvent,2017-10-02 13:53:01+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,aids_by_tag,user
3968,DeleteEvent,2017-10-15 06:14:05+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,ff,user
3979,DeleteEvent,2016-11-28 13:31:21+00:00,744916,gem/oq-engine,1818657,daniviga,316546,gem,branch,webui-middleware,user
4060,DeleteEvent,2017-02-24 11:17:20+00:00,61572326,DataDog/dd-trace-py,1560405,palazzem,365230,DataDog,branch,nicolas/wrapped-coroutines,user
4139,DeleteEvent,2017-10-25 16:20:04+00:00,60838611,Statoil/cwrap,8667957,jokva,525862,Statoil,tag,1.1.1,user
4157,DeleteEvent,2015-06-09 13:30:18+00:00,11686678,enthought/okonomiyaki,25111,cournape,539651,enthought,branch,fix_pkg_info_metadata_versioning,user
4437,DeleteEvent,2018-07-18 21:11:46+00:00,116993570,nasa/cumulus-message-adapter,1933118,scisco,848102,nasa,branch,fix_failing_deploy,user
4451,DeleteEvent,2015-08-27 19:52:20+00:00,7507548,materialsproject/fireworks,986759,computron,867057,materialsproject,branch,fworker_query_fix,user
4508,DeleteEvent,2016-05-26 12:13:51+00:00,26542499,uploadcare/pillow-simd,128982,homm,978311,uploadcare,branch,resampling-accuracy-tests,user
4686,DeleteEvent,2017-11-22 18:40:49+00:00,4802269,dnanexus/dx-toolkit,24255381,kpjensen,1161297,dnanexus,branch,DEVEX-495-dx-docker,user
4729,DeleteEvent,2016-12-05 12:14:55+00:00,3314548,eea/eea.facetednavigation,323385,avoinea,1176627,eea,tag,jenkins-eea.facetednavigation-sync-537,user
4730,DeleteEvent,2016-12-05 12:14:31+00:00,3314548,eea/eea.facetednavigation,323385,avoinea,1176627,eea,tag,jenkins-eea.facetednavigation-sync-529,user
4856,DeleteEvent,2017-03-09 16:34:21+00:00,24993138,google/brotli,203457,eustas,1342004,google,branch,polish,user
4899,DeleteEvent,2017-10-09 17:39:22+00:00,32044895,google/python_portpicker,68491,gpshead,1342004,google,branch,update_version_to_1.2.0,user
4913,DeleteEvent,2015-12-01 15:11:47+00:00,36670205,quantopian/pyfolio,674200,twiecki,1393215,quantopian,branch,refactor_perf_stats,user
